branch,state,name,type,latitude,longitude
Army,Virgin Islands,AAOF BLAIR HANGAR,National Guard,17.725062,-64.782945
Army,Alabama,AASF #1 R W SHEPHERD HOPE HULL,National Guard,32.287216,-86.394073
Army,Alabama,AASF #2 BIRMINGHAM,National Guard,33.572333,-86.750542
Army,Tennessee,AASF #2 TN,National Guard,35.821234,-83.994949
Army,Washington,AASF #2 WA,National Guard,47.618166,-117.641352
Army,Alabama,AASF #3 BATES FIELD MOBILE,National Guard,30.69254,-88.245547
Army,Virginia,AASF BYRD FIELD,National Guard,37.506614,-77.320779
Army,New Hampshire,AASF CONCORD,National Guard,43.212389,-71.496895
Army,Guam,AASF GUAM,National Guard,13.474073,144.809885
Army,Mississippi,AASF JACKSON,National Guard,32.333724,-90.226122
Army,New Jersey,AASF MAIN HANGAR-COLD STORAGE,National Guard,40.029701,-74.316384
Army,Mississippi,AASF MERIDIAN,National Guard,32.345178,-88.742131
Army,Puerto Rico,AASF PR,National Guard,18.455318,-66.096087
Army,Mississippi,AASF TUPELO,National Guard,34.26467,-88.766437
Army,South Carolina,AASF UPSTATE,National Guard,34.767698,-82.373656
Army,Utah,AASF-E.J. GARN AVIATION COMPLEX,National Guard,40.613167,-111.998167
Army,Alabama,ALAAP,BRAC,33.333333,-86.333333
Navy,California,ALAMEDA_NAS,BRAC,37.773754,-122.243998
Navy,Georgia,ALBANY GA MCLB,Active,31.550889,-84.055892
Navy,Alaska,AMCHITKA AK FLTSURSPTDET1,Active,51.425375,179.242971
Navy,Maryland,ANNAPOLIS MD NAVACAD,Active,38.982067,-76.483856
Navy,Maryland,ANNAPOLIS MD NS,Active,38.989852,-76.462426
Army,Florida,ASF CLEARWATER,Active,27.919592,-82.693654
Army,Texas,ASF CONROE,Active,30.348839,-95.424896
Army,Kansas,ASF NEW CENTURY,Active,38.83556,-94.897384
Navy,California,AZUSA CA NCCOSC MORRIS DA,Active,34.181876,-117.871852
Army,Maryland,ABERDEEN PROVING GROUND,Active,39.39058,-76.218905
Army,Maryland,ABERDEEN PROVING GROUND - ADELPHI LABORATORY CENTER,Active,39.029992,-76.963782
Navy,Alaska,ADAK AK NAF,BRAC,51.788199,-176.696676
Air Force,Oklahoma,AIR FORCE PLANT 3,Active,36.18695,-95.874957
Air Force,Ohio,AIR FORCE PLANT 36,Active,40.417287,-82.907123
Air Force,Texas,AIR FORCE PLANT 4,Active,32.725409,-97.32085
Air Force,California,AIR FORCE PLANT 42,Active,34.621164,-118.077376
Air Force,Arizona,AIR FORCE PLANT 44,Active,32.221743,-110.926479
Air Force,Georgia,AIR FORCE PLANT 6,Active,33.933353,-84.534014
Air Force,Ohio,AIR FORCE PLANT 85,Active,39.980211,-82.894764
Air Force,Colorado,AIR FORCE PLANT PJKS,Active,39.51,-105.12
Air Force,Arizona,AIR FORCE RESEARCH LABORATORY MESA,BRAC,33.303416,-111.664679
Air Force,New York,AIR FORCE RESEARCH LABORATORY ROME,Active,43.212847,-75.45573
Army,New York,ALBANY AASF #3/DMNA HQ /FMS #16,National Guard,42.74293,-73.800456
Army,South Carolina,ALLENDALE ARMORY,National Guard,33.015054,-81.306066
Air Force,Michigan,ALPENA,National Guard,45.084792,-83.567242
Air Force,Oklahoma,ALTUS AFB,Active,34.655689,-99.284617
Navy,Maryland,ANNAPOLIS NSWC CARDEROCK DIV DET,BRAC,38.985337,-76.472008
Army,Alabama,ANNISTON ARMY DEPOT,Active,33.652857,-85.969531
Air Force,Tennessee,ARNOLD AFB,Active,35.39881,-86.078066
Air Force,New Jersey,ATLANTIC CITY,National Guard,39.448024,-74.582132
Army,Texas,AUSTIN BERGSTROM HANGAR,National Guard,30.176305,-97.672095
Air Force,Florida,AVON PARK AIR FORCE RESERVE,Active,27.59567,-81.506186
Navy,Maryland,BAINBRIDGE MD NTC,Active,39.628198,-76.099903
Navy,Hawaii,BARBERS POINT HI NAS,Active,21.328792,-158.080862
Navy,Hawaii,BARKING SANDS HI PMRF,Active,22.05344,-159.779982
Navy,Alaska,BARROW AK NARL,Active,71.321729,-156.647955
Navy,California,BARSTOW CA MCLB,Active,34.859366,-116.944444
Navy,South Carolina,BEAUFORT SC MCAS,Active,32.475964,-80.726366
Navy,Massachusetts,BEDFORD MA NWRIP,Active,42.477093,-71.289206
Navy,New York,BETHPAGE NY NWIRP,Active,40.752573,-73.496646
Navy,Connecticut,BLOOMFIELD CT NWIRP,Active,41.861176,-72.701182
Navy,Washington,BREMERTON  WA NAVBASE,Active,47.711998,-122.714478
Navy,Tennessee,BRISTOL TN NWIRP,Active,36.547518,-82.188498
Army,Wisconsin,BADGER ARMY AMMUNITION PLANT,Active,43.371298,-89.766627
Air Force,Maine,BANGOR INTERNATIONAL AIRPORT,National Guard,44.81547,-68.824186
Army,Maine,BANGOR TRAINING SITE,National Guard,44.808321,-68.84313
Navy,Hawaii,BARBERS POINT NAS,BRAC,21.328792,-158.080862
Air Force,Louisiana,BARKSDALE AFB,Active,32.501945,-93.662781
Air Force,Massachusetts,BARNES MUNICIPAL,National Guard,42.168377,-72.717661
Air Force,California,BEALE AFB,Active,39.149707,-121.431134
Air Force,Hawaii,BELLOWS AIR FORCE STATION,Active,21.369086,-157.711144
Army,Michigan,BELMONT ARMORY,National Guard,35.245984,-81.019782
Army,Oregon,BEND COTEF YOUTH CHALLENGE,National Guard,44.025792,-121.128279
Air Force,Texas,BERGSTROM AFB,BRAC,30.197429,-97.666306
Army,Alaska,BETHEL AAOF,National Guard,60.795533,-161.767465
Army,Oregon,BIAK TRAINING AREAS BRETT HALL,National Guard,44.200024,-121.116642
Air Force,Pennsylvania,BIDDLE ANGB FORMERLY HORSHAM/WILLOW GROVE ANG,National Guard,40.208241,-75.148506
Air Force,Alabama,BIRMINGHAM INTERNATIONAL AIRPORT,National Guard,33.570709,-86.75355
Army,North Dakota,BISMARCK AASF COMPLEX  ,National Guard,46.829366,-100.720168
Army,Kentucky,BLUE GRASS ARMY DEPOT,Active,37.699058,-84.217408
Army,Kentucky,BLUEGRASS ARMY DEPOT BRAC,BRAC,37.699058,-84.217408
Air Force,Idaho,BOISE,National Guard,43.558945,-116.221981
Army,Iowa,BOONE AASF,National Guard,42.049229,-93.85442
Army,Kentucky,BOONE NATIONAL GUARD CENTER - AASF,National Guard,38.185727,-84.908478
Air Force,Connecticut,BRADLEY INTERNATIONAL AIRPORT,National Guard,41.935241,-72.701148
Army,Washington,BREMERTON,National Guard,47.552719,-122.681352
Air Force,Texas,BROOKS-CITY BASE,BRAC,29.349368,-98.439512
Army,Florida,"BROOKSVILLE RC, AASF #2",National Guard,28.479416,-82.453615
Army,Maine,BRUNSWICK  WEST,National Guard,43.902846,-69.93643
Army,Maine,BRUNSWICK ARMED FORCES RESERVE CENTER,National Guard,43.875481,-69.921123
Army,Maine,BRUNSWICK EAST ,National Guard,43.877972,-69.923445
Navy,Maine,BRUNSWICK NAS,BRAC,43.890348,-69.934373
Army,Alaska,BRYANT AIRFIELD-  JBER,National Guard,61.26265,-149.654661
Air Force,Colorado,BUCKLEY AFB,Active,39.7,-104.76
Army,Colorado,BUCKLEY AIR FORCE BASE AASF,National Guard,39.705503,-104.762353
Air Force,Colorado,BUCKLEY ANNEX,BRAC,39.720981,-104.895254
Air Force,Vermont,BURLINGTON,National Guard,44.473793,-73.146718
Navy,New York,CALVERTON NY NPRO,Active,40.914038,-72.794466
Navy,Hawaii,CAMP H. M. SMITH OAHU HI,Active,21.386682,-157.90553
Navy,North Carolina,CAMP LEJEUNE NC MCB,Active,34.644556,-77.417747
Navy,California,CAMP PENDLETON CA MCB,Active,33.361871,-117.423732
Navy,North Carolina,CHERRY POINT NC MCAS,Active,34.91032,-76.884876
Navy,Maryland,CHESAPEAKE BEACH MD RESLB,Active,38.658473,-76.532016
Navy,Virginia,CHESAPEAKE VA NSGA NW,Active,36.559099,-76.267485
Navy,Virginia,CHESAPEAKE VA STJULCREEK,Active,36.787949,-76.310164
Navy,California,CHINA LAKE CA NAWCWPNSDIV,Active,35.689049,-117.688575
Navy,Florida,CID CORRY STATION,Active,30.402749,-87.290008
Navy,Texas,CORPUS CHRISTI TX NAS,Active,27.691281,-97.2791
Navy,Virginia,CRANEY ISLAND VA NFD/NSC,Active,36.888786,-76.360555
Army,West Virginia,CTC CAMP DAWSON-KINGWOOD,National Guard,39.404508,-79.667292
Air Force,Michigan,CALUMET AIR FORCE STATION,Active,47.371111,-88.170556
Army,Oregon,CAMP ADAIR  CORVALLIS,National Guard,44.714336,-123.270696
Army,Indiana,CAMP ATTERBURY/RANGE 36 ATG,National Guard,39.341645,-86.029329
Army,Louisiana,CAMP BEAUREGARD,National Guard,31.377644,-92.386692
Army,Florida,CAMP BLANDING,National Guard,29.981451,-81.984814
Army,Washington,CAMP BONNEVILLE,BRAC,45.695259,-122.41447
Army,Iowa,CAMP DODGE JOHNSTON TRAINING SITE,National Guard,41.811015,-93.781527
Army,Massachusetts,CAMP EDWARDS,National Guard,41.700352,-70.544839
Army,Mississippi,CAMP MCCAIN,National Guard,33.710882,-89.685934
Army,Louisiana,CAMP MINDEN,National Guard,32.55892,-93.394053
Army,Washington,CAMP MURRAY,National Guard,47.116716,-122.5697
Army,Arizona,CAMP NAVAJO,National Guard,35.1948,-111.850595
Army,Virginia,CAMP PENDLETON SMR,National Guard,36.81858,-75.97885
Army,Minnesota,CAMP RIPLEY,National Guard,46.210819,-94.425268
Army,Minnesota,CAMP RIPLEY INSTALLATION WIDE PA WESTERN AOI SI,National Guard,46.210819,-94.425268
Army,California,CAMP ROBERTS,National Guard,35.781595,-120.780041
Army,Arkansas,CAMP ROBINSON,National Guard,34.900036,-92.306802
Army,California,CAMP SAN LUIS OBISPO,National Guard,35.339152,-120.703075
Army,Puerto Rico,CAMP SANTIAGO JOINT MANEUVER TRAINING CENTER,National Guard,18.028765,-66.283609
Army,Mississippi,CAMP SHELBY,National Guard,31.090246,-89.006868
Army,New York,CAMP SMITH/CSMS A,National Guard,41.311889,-73.950935
Army,Louisiana,CAMP VILLERE,National Guard,30.323353,-89.808526
Army,Utah,CAMP WILLIAMS,National Guard,40.434249,-111.927375
Air Force,New Mexico,CANNON AFB,Active,34.39,-103.32
Air Force,Florida,CAPE CANAVERAL AIR FORCE STATION,Active,28.467501,-80.566391
Army,Pennsylvania,CARLISLE BARRACKS,Active,40.207364,-77.168804
Air Force,Texas,CARSWELL AFB,BRAC,32.768641,-97.431149
Army,Wyoming,CASPER,National Guard,42.807998,-106.402677
Air Force,California,CASTLE AFB,BRAC,37.364827,-120.577909
Army,Maine,CASWELL TRAINING SITE,National Guard,46.982517,-67.864358
Air Force,North Dakota,CAVALIER AIR FORCE STATION,Active,48.724531,-97.90307
Navy,Florida,CECIL FIELD NAS,BRAC,30.223787,-81.884578
Army,Oregon,CENTRAL OREGON UNIT TRAINING EQUIPMENT SITE,National Guard,44.256494,-121.133576
Air Force,California,CHANNEL ISLANDS,National Guard,34.13921,-119.110471
Air Force,Illinois,CHANUTE AFB,BRAC,40.288904,-88.143783
Army,Illinois,CHARLES MELVIN PRICE SUPPORT CENTER,Active,38.701439,-90.14872
Navy,South Carolina,CHARLESTON NS,BRAC,32.944468,-79.963541
Navy,South Carolina,CHARLESTON NSY,BRAC,33.000443,-79.971365
Air Force,North Carolina,CHARLOTTE DOUGLAS,National Guard,35.216119,-80.929691
Navy,Texas,CHASE FIELD NAS,BRAC,28.362916,-97.659996
Army,Virginia,CHESTERFIELD LIMITED AASF,National Guard,37.405967,-77.523359
Army,Wyoming,CHEYENNE AASF,National Guard,41.161379,-104.809354
Air Force,Colorado,CHEYENNE MOUNTAIN AIR FORCE STATION,Active,38.741656,-104.833877
Air Force,Wyoming,CHEYENNE MUNICIPAL,National Guard,41.16155,-104.82013
Army,Illinois,"CHICAGO MIDWAY ARMORY, AASF #2",National Guard,41.778701,-87.756703
Army,Oregon,CHRISTMAS VALLEY RADAR SITE,National Guard,43.238676,-120.670942
Air Force,Alaska,CLEAR AIR FORCE STATION,Active,64.288438,-149.191567
Army,New Hampshire,COLD REGIONS RESEARCH AND ENGINEERING LABORATORY,Active,43.723915,-72.270968
Air Force,Mississippi,COLUMBUS AFB,Active,33.63,-88.43
Navy,California,CONCORD NWS,BRAC,38.015084,-122.013427
Army,Nebraska,CORNHUSKER ARMY AMMUNITION PLANT,Active,40.918573,-98.495056
Air Force,Nevada,CREECH AFB,Active,36.582669,-115.676219
Navy,California,CROWS NALF,BRAC,37.413631,-121.108974
Navy,Virginia,DAHLGREN VA NSWCTR DIV,Active,38.339866,-77.032564
Navy,Texas,DALLAS TX NWIRP,Active,32.737542,-96.968652
Navy,Virginia,DAM NECK VA,Active,36.788066,-75.965501
Navy,Rhode Island,DAVISVILLE_NCBC,BRAC,41.611616,-71.442176
Army,Tennessee,DDMT,BRAC,35.085567,-89.988038
DLA,New Hampshire,DFSP NEWINGTON,Active,43.106981,-70.804747
DLA,California,DFSP NORWALK,Active,33.892245,-118.072723
DLA,California,DFSP OZOL,Active,38.026409,-122.163243
DLA,California,DFSP SAN PEDRO,Active,33.774957,-118.29644
DLA,New York,DFSP VERONA,Active,43.126797,-75.589813
Army,Florida,DADE CITY READINESS CENTER,National Guard,28.366375,-82.187296
Navy,Texas,DALLAS NAS,BRAC,32.737542,-96.968652
Army,Iowa,DAVENPORT AASF,National Guard,41.617325,-90.581831
Air Force,Arizona,DAVIS-MONTHAN AFB,Active,32.155284,-110.860601
Army,Illinois,DECATUR AASF #1,National Guard,39.839786,-88.878467
DLA,Pennsylvania,DEFENSE DISTRIBUTION CENTER SUSQUEHANNA,Active,40.211628,-76.852831
DLA,Virginia,DEFENSE SUPPLY CENTER RICHMOND,Active,37.415139,-77.436278
Air Force,Iowa,DES MOINES,National Guard,41.539889,-93.661747
Army,Michigan,DETROIT ARSENAL,Active,42.497337,-83.041338
Army,Massachusetts,DEVENS,BRAC,42.498389,-71.656417
Army,Massachusetts,DEVENS RESERVE FORCES TRAINING AREA,Active,42.537344,-71.617638
Air Force,Georgia,DOBBINS AIR RESERVE BASE,Active,33.91719,-84.514354
Air Force,Delaware,DOVER AFB,Active,39.132289,-75.486514
Navy,Virginia,DRIVER NRTF,BRAC,36.818037,-76.540076
Army,Utah,DUGWAY PROVING GROUND,Active,40.154496,-113.284078
Air Force,Minnesota,DULUTH INTERNATIONAL AIRPORT,National Guard,46.844925,-92.175553
Army,Delaware,DUNCAN ARMORY AASF,National Guard,39.683568,-75.614756
Air Force,Texas,DYESS AFB,Active,32.423716,-99.84689
Navy,California,EL CENTRO CA NAF,Active,32.825394,-115.668153
Navy,Washington,EVERETT WA NAVSTA,Active,47.987858,-122.223568
Air Force,West Virginia,EWVRA SHEPHERD FIELD MARTINSBURG,National Guard,39.404864,-77.985639
Air Force,Arkansas,EAKER AFB,BRAC,35.957472,-89.932472
Air Force,Alaska,EARECKSON AFS,Active,52.7225,-174.1136
Army,Idaho,EDGEMEADE TS MOUNTAIN HOME,National Guard,43.043506,-115.863574
Air Force,California,EDWARDS AFB,Active,34.924469,-117.942931
Air Force,Florida,EGLIN AFB,Active,30.483333,-86.533333
Air Force,Alaska,EIELSON AFB,Active,64.665556,-147.101389
Army,Texas,EL CAMPO,National Guard,29.173393,-96.25306
Navy,California,EL TORO MCAS,BRAC,33.67391,-117.714143
Air Force,Texas,ELLINGTON FIELD,National Guard,29.616048,-95.16801
Air Force,South Dakota,ELLSWORTH AFB,Active,44.14,-103.07
Air Force,Louisiana,ENGLAND AFB,BRAC,31.328332,-92.538733
Army,Louisiana,ESLER FIELD AASF #2,National Guard,31.397734,-92.297283
Navy,Nevada,FALLON NV NAS,Active,39.424148,-118.711564
Air Force,Wyoming,FE WARREN AFB,Active,41.165614,-104.862969
Navy,Florida,FISC JAX NWCF,Active,30.40006,-81.624952
Navy,Texas,FT WORTH TX NAS JRB,Active,32.76881,-97.433658
Air Force,Washington,FAIRCHILD AFB,Active,47.615002,-117.658058
Army,North Dakota,FARGO AASF #2 ,National Guard,46.921336,-96.823886
Army,West Virginia,FIXED WING AAS,National Guard,38.372895,-81.586896
Army,Arizona,FLORENCE MILITARY RESERVATION,National Guard,33.135781,-111.330206
Air Force,Kansas,FORBES FIELD,National Guard,38.961726,-95.679662
Army,New Hampshire,"FORMER CRASH FIRE STATION, BUILDING 241",National Guard,43.085482,-70.820252
Army,Puerto Rico,FORT ALLEN,National Guard,18.008106,-66.503893
Army,Virginia,FORT BARFOOT,BRAC,37.072649,-77.970156
Army,Virginia,FORT BELVOIR,Active,38.699606,-77.155693
Army,Indiana,FORT BENJAMIN HARRISON,BRAC,39.862443,-86.007414
Army,Georgia,FORT BENNING - CAMP MERRILL,Active,34.628314,-84.10428
Army,Texas,FORT BLISS,Active,31.812349,-106.421564
Army,North Carolina,FORT BRAGG ,Active,35.136237,-79.143965
Army,North Carolina,FORT BRAGG - CAMP MACKALL,Active,35.030102,-79.481624
Army,Puerto Rico,FORT BUCHANAN,Active,18.415503,-66.120552
Army,Kentucky,FORT CAMPBELL,Active,36.669782,-87.671827
Army,Colorado,FORT CARSON,Active,38.558741,-104.826769
Army,Texas,FORT CAVAZOS,Active,31.217461,-97.742439
Army,Arkansas,FORT CHAFFEE,BRAC,35.250288,-94.162576
Army,Maryland,FORT DETRICK,Active,39.439534,-77.432857
Army,Maryland,FORT DETRICK - FOREST GLEN ANNEX,Active,39.006116,-77.05523
Army,New York,FORT DRUM,Active,44.124812,-75.592067
Army,Georgia,FORT EISENHOWER,Active,33.356668,-82.237268
Army,Georgia,FORT GILLEM,BRAC,33.6202,-84.3289
Army,Georgia,FORT GORDON - GILLEM ANNEX,Active,33.623241,-84.325864
Army,Alaska,FORT GREELY,Active,63.966778,-145.715114
Army,Virginia,FORT GREGG-ADAMS,Active,37.24944,-77.334728
Army,New York,FORT HAMILTON,Active,40.608486,-74.029506
Army,Arizona,FORT HUACHUCA,Active,31.569472,-110.329316
Army,California,FORT HUNTER LIGGETT,Active,35.955407,-121.25377
Army,California,FORT HUNTER LIGGETT - PARKS RESERVE FORCES TRAINING AREA ,Active,36.008925,-121.236905
Army,Pennsylvania,FORT INDIANTOWN GAP,National Guard,40.435864,-76.629891
Army,California,FORT IRWIN ,Active,35.374327,-116.633388
Army,South Carolina,FORT JACKSON,Active,34.039833,-80.827991
Army,Louisiana,FORT JOHNSON,Active,31.044452,-93.222085
Army,Kentucky,FORT KNOX,Active,37.907017,-85.883123
Army,Kansas,FORT LEAVENWORTH,Active,39.36417,-94.918251
Army,Missouri,FORT LEONARD WOOD,Active,37.794443,-92.135002
Army,Alabama,FORT MCCLELLAN,National Guard,33.731637,-85.789886
Army,Alabama,FORT MCCLELLAN BRAC,BRAC,33.731637,-85.789886
Army,Wisconsin,FORT MCCOY,Active,44.033531,-90.676564
Army,Georgia,FORT MCPHERSON,BRAC,33.707858,-84.435532
Army,Maryland,FORT MEADE,Active,39.105832,-76.743688
Army,Maryland,FORT MEADE - PHOENIX MILITARY RESERVATION,Active,39.098126,-76.729237
Army,New Jersey,FORT MONMOUTH,BRAC,40.3136,-74.0453
Army,Virginia,FORT MONROE,BRAC,37.017161,-76.298381
Army,Georgia,FORT MOORE,Active,32.399593,-84.801146
Army,Alabama,FORT NOVOSEL,Active,31.404079,-85.747389
Army,California,FORT ORD,BRAC,36.6068,-121.91033
Army,Virginia,FORT PICKETT MTC,National Guard,37.036753,-77.909317
Army,Florida,FORT PIERCE READINESS CENTER,National Guard,27.447074,-80.327005
Army,Louisiana,FORT POLK - PEASON RIDGE,Active,31.047404,-93.189694
Army,Kansas,FORT RILEY,Active,39.206745,-96.824817
Army,Hawaii,FORT RUGER,National Guard,21.263022,-157.804182
Army,Illinois,FORT SHERIDAN,BRAC,42.206824,-87.810311
Army,Oklahoma,FORT SILL,Active,34.682259,-98.483415
Army,Georgia,FORT STEWART,Active,31.993565,-81.616772
Army,Georgia,FORT STEWART - HUNTER AAF,Active,32.009657,-81.15356
Army,Alaska,FORT WAINWRIGHT,Active,64.544719,-147.708446
Army,Alaska,FORT WAINWRIGHT - GERSTLE RIVER TEST SITE,Active,63.792949,-145.035626
Army,Alaska,FORT WAINWRIGHT - HAINES PIPELINE FACILITIES ,Active,64.829335,-147.544263
Army,Virginia,FORT WALKER,Active,38.118004,-77.275958
Air Force,Indiana,FORT WAYNE MUNICIPAL,National Guard,40.982473,-85.179938
Army,Montana,FORT WILLIAM HENRY HARRISON /JFHQ MT,National Guard,46.630102,-112.087286
